code,station,time,title
RB,Rádio Beat,2022-02-04 16:42:48,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 16:43:32,POLICE - SYNCHRONICITY II
MH,Metal Heart Radio,2022-02-04 16:45:03,"257 - PRIMAL FEAR - Fighting The Darkness [New Religion, 2007]"
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:47:03,Celestial Decay - (02) Eye of the Storm
MH,Metal Heart Radio,2022-02-04 16:48:33,Crematory - Tears Of Time
RB,Rádio Beat,2022-02-04 16:48:47,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 16:49:03,JASNÁ PÁKA - NO SEX NO DRUGS
RB,Rádio Beat,2022-02-04 16:51:33,JJ CALE - COCAINE
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 16:52:48,Agate - (01) Gone
MH,Metal Heart Radio,2022-02-04 16:53:33,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-02-04 16:53:48,Gary Moore - Still Got The Blues
RB,Rádio Beat,2022-02-04 16:55:46,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 16:57:48,Hardcore Superstar - Because Of You
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 17:00:32,Almora - (11) Masalci The Stormwinder
MH,Metal Heart Radio,2022-02-04 17:01:19,Norther - Mirror Of Madness
RB,Rádio Beat,2022-02-04 17:02:31,OZZY OSBOURNE & RANDY RHOADS - MR. CROWLEY
MH,Metal Heart Radio,2022-02-04 17:06:04,Overkill - Elimination
